FirstPtIndex,NumPts
1,22
22,31
52,22
73,23
95,63
157,36
192,25
216,32
247,24
270,17
286,16
301,31
331,24
354,37
390,19
408,34
441,73
513,22
534,17
550,23
572,140
711,15
725,67
791,14
804,42
845,58
902,28
929,62
990,36
1025,37
1061,30
1090,28
1117,53
1169,53
1221,24
1244,34
1277,61
1337,45
1381,23
1403,14
1416,35
1450,25
1474,28
1501,19
1519,47
1565,35
1599,31
1629,57
1685,35
1719,58
1776,34
1809,44
1852,31
1882,36
1917,105
2021,67
2087,19
2105,33
2137,18
2154,17
2170,26
2195,22
2216,86
2301,24
2324,42
2365,20
2384,22
2405,38
2442,37
2478,13
2490,30
2519,35
2553,21
2573,35
2607,32
2638,58
2695,23
2717,34
2750,39
2788,49
2836,59
2894,1
2894,1
2894,1
2894,31
2924,22
2945,28
2972,60
3031,20
3050,47
3096,23
3118,20
3137,43
3179,34
3212,17
3228,61
3288,41
3328,73
3400,39
3438,42
3479,61
3539,23
3561,33
3593,90
3682,38
3719,20
3738,75
3812,1
3812,56
3867,31
3897,39
3935,27
3961,41
4001,47
4047,33
4079,1
4079,52
4130,28
4157,16
4172,1
4172,31
4202,1
4202,1
4202,50
4251,61
4311,48
4358,30
4387,37
4423,22
4444,20
4463,33
4495,21
4515,18
4532,25
4556,1
4556,30
4585,33
4617,43
4659,34
4692,14
4705,20
4724,33
4756,47
4802,17
4818,31
4848,35
4882,37
4918,47
4964,30
4993,21
5013,39
5051,21
5071,53
5123,16
5138,20
5157,25
5181,2
5182,45
5226,31
5256,34
5289,1
5289,31
5319,28
5346,13
5358,50
5407,19
5425,36
5460,1
5460,31
5490,48
5537,53
5589,1
5589,21
5609,32
5640,51
5690,27
5716,101
5816,21
5836,58
5893,52
5944,24
5967,41
6007,51
6057,24
6080,100
6179,27
6205,87
6291,32
6322,1
6322,8
6329,10
6338,1
6338,32
6369,26
6394,69
6462,40
6501,33
6533,24
6556,25
6580,44
6623,39
6661,51
6711,3
6713,38
6750,28
6777,33
6809,28
6836,34
6869,22
6890,37
6926,65
6990,26
7015,35
7049,28
7076,17
7092,57
7148,12
7159,1
7159,25
7183,60
7242,2
7243,76
7318,88
7405,31
7435,79
7513,70
7582,37
7618,53
7670,23
7692,46
7737,28
7764,23
7786,55
7840,40
7879,53
7931,62
7992,30
8021,74
8094,47
8140,29
8168,54
8221,25
8245,46
8290,33
8322,1
8322,66
8387,30
8416,43
8458,40
8497,35
8531,37
8567,69
8635,79
8713,51
8763,25
8787,95
8881,52
8932,43
8974,22
8995,27
9021,51
9071,17
9087,19
9105,23
9127,17
9143,24
9166,9
9174,60
9233,16
9248,9
9256,26
9281,18
9298,33
9330,21
9350,16
9365,26
9390,54
9443,72
9514,36
9549,43
9591,24
9614,44
9657,47
9703,36
9738,32
9769,51
