FirstPtIndex,NumPts
1,22
22,31
52,22
73,23
95,63
157,36
192,25
216,32
247,24
270,17
286,16
301,31
331,24
354,37
390,19
408,34
441,73
513,22
534,17
550,23
572,140
711,15
725,67
791,14
804,42
845,58
902,28
929,62
990,36
1025,37
1061,30
1090,28
1117,53
1169,53
1221,24
1244,34
1277,61
1337,45
1381,23
1403,14
1416,35
1450,25
1474,28
1501,19
1519,47
1565,35
1599,31
1629,57
1685,35
1719,58
1776,34
1809,44
1852,31
1882,36
1917,105
2021,67
2087,19
2105,33
2137,18
2154,17
2170,26
2195,22
2216,86
2301,24
2324,42
2365,20
2384,22
2405,38
2442,37
2478,13
2490,30
2519,35
2553,21
2573,35
2607,32
2638,58
2695,23
2717,34
2750,39
2788,49
2836,59
2894,1
2894,1
2894,1
2894,31
2924,22
2945,28
2972,60
3031,20
3050,47
3096,23
3118,20
3137,43
3179,34
3212,17
3228,61
3288,41
3328,73
3400,39
3438,42
3479,61
3539,23
3561,33
3593,90
3682,38
3719,20
3738,75
3812,1
3812,56
3867,31
3897,39
3935,27
3961,41
4001,47
4047,33
4079,1
4079,52
4130,28
4157,16
4172,1
4172,31
4202,1
4202,1
4202,50
4251,61
4311,48
4358,30
4387,37
4423,22
4444,20
4463,33
4495,21
4515,18
4532,25
4556,1
4556,30
4585,33
4617,43
4659,34
4692,14
4705,20
4724,33
4756,47
4802,17
4818,31
4848,35
4882,37
4918,47
4964,30
4993,21
5013,39
5051,21
5071,53
5123,16
5138,20
5157,25
5181,2
5182,45
5226,31
5256,34
5289,1
5289,31
5319,28
5346,13
5358,50
5407,19
5425,36
5460,1
5460,31
5490,48
5537,53
5589,1
5589,21
5609,32
5640,51
5690,27
5716,101
5816,21
5836,58
5893,52
5944,24
5967,41
6007,51
6057,24
6080,100
6179,27
6205,87
6291,32
6322,1
6322,8
6329,10
6338,1
6338,32
6369,26
6394,69
6462,40
6501,33
6533,24
6556,25
6580,44
6623,39
6661,51
6711,3
6713,38
6750,28
6777,33
6809,28
6836,34
6869,22
6890,37
6926,65
6990,26
7015,35
7049,28
7076,17
7092,57
7148,12
7159,1
7159,25
7183,60
7242,2
7243,76
7318,88
7405,31
7435,79
7513,70
7582,37
7618,53
7670,23
7692,46
7737,28
7764,23
7786,55
7840,40
7879,53
7931,62
7992,30
8021,74
8094,47
8140,29
8168,54
8221,25
8245,46
8290,33
8322,1
8322,66
8387,30
8416,43
8458,40
8497,35
8531,37
8567,69
8635,79
8713,51
8763,25
8787,95
8881,52
8932,43
8974,22
8995,27
9021,51
9071,17
9087,19
9105,23
9127,17
9143,24
9166,9
9174,60
9233,16
9248,9
9256,26
9281,18
9298,33
9330,21
9350,16
9365,26
9390,54
9443,72
9514,36
9549,43
9591,24
9614,44
9657,47
9703,36
9738,32
9769,51
1,28
28,23
50,25
74,31
104,68
171,24
194,51
244,15
258,16
273,25
297,24
320,18
337,14
350,37
386,18
403,17
419,41
459,34
492,62
553,26
578,19
596,25
620,22
641,10
650,16
665,50
714,15
728,39
766,38
803,21
823,27
849,26
874,31
904,31
934,30
963,23
985,30
1014,70
1083,25
1107,46
1152,20
1171,28
1198,31
1228,16
1243,21
1263,23
1285,29
1313,18
1330,11
1340,22
1361,34
1394,45
1438,33
1470,26
1495,28
1522,22
1543,23
1565,24
1588,33
1620,23
1642,47
1688,20
1707,66
1772,41
1812,31
1842,21
1862,21
1882,40
1921,27
1947,26
1972,25
1996,21
2016,26
2041,52
2092,61
2152,38
2189,20
2208,55
2262,32
2293,54
2346,61
2406,30
2435,23
2457,72
2528,36
2563,106
2668,1
2668,34
2701,52
2752,33
2784,38
2821,92
2912,19
2930,26
2955,44
2998,40
3037,68
3104,62
3165,64
3228,31
3258,50
3307,27
3333,36
3368,1
3368,37
3404,23
3426,20
3445,29
3473,19
3491,18
3508,18
3525,15
3539,19
3557,29
3585,18
3602,8
3609,1
3609,1
3609,30
3638,1
3638,46
3683,1
3683,29
3711,50
3760,32
3791,14
3804,29
3832,57
3888,41
3928,61
3988,38
4025,18
4042,31
4072,16
4087,17
4103,77
4179,52
4230,46
4275,29
4303,27
4329,63
4391,60
4450,17
4466,26
4491,26
4516,52
4567,33
4599,26
4624,31
4654,51
4704,41
4744,25
4768,17
4784,37
4820,16
4835,8
4842,1
4842,42
4883,32
4914,36
4949,1
4949,37
4985,38
5022,25
5046,38
5083,34
5116,45
5160,21
5180,34
5213,24
5236,13
5248,45
5292,37
5328,69
5396,61
5456,45
5500,31
5530,19
5548,31
5578,25
5602,44
5645,23
5667,28
5694,28
5721,19
5739,24
5762,26
5787,1
5787,19
5805,25
5829,26
5854,43
5896,23
5918,20
5937,55
5991,51
6041,43
6083,38
6120,51
6170,47
6216,51
6266,19
6284,18
6301,38
6338,41
6378,27
6404,25
6428,1
6428,47
6474,47
6520,26
6545,24
6568,29
6596,44
6639,31
6669,33
6701,45
6745,9
6753,21
6773,22
6794,24
6817,54
6870,70
6939,46
6984,38
7021,1
7021,51
7071,31
7101,103
7203,36
7238,46
7283,6
7288,22
7309,30
7338,43
7380,28
7407,55
7461,29
7489,25
7513,32
7544,39
7582,22
7603,29
7631,89
7719,43
7761,27
7787,1
7787,19
7805,38
7842,28
7869,39
7907,28
7934,35
7968,23
7990,5
7994,34
8027,67
8093,51
8143,46
8188,3
8190,91
8280,63
8342,52
8393,36
8428,36
8463,29
8491,29
8519,40
8558,18
8575,1
8575,35
8609,1
8609,19
1,1
1,27
27,28
54,52
105,62
166,21
186,19
204,22
225,15
239,2
240,31
270,64
333,36
368,24
391,34
424,39
462,1
462,45
506,26
531,24
554,31
584,37
620,52
671,33
703,40
742,27
768,19
786,24
809,33
841,23
863,40
902,23
924,25
948,35
982,7
988,19
1006,61
1066,66
1131,29
1159,27
1185,34
1218,31
1248,22
1269,29
1297,19
1315,32
1346,34
1379,30
1408,32
1439,38
1476,37
1512,44
1555,44
1598,17
1614,21
1634,54
1687,28
1714,1
1714,1
1714,22
1735,55
1789,21
1809,26
1834,41
1874,38
1911,32
1942,33
1974,72
2045,12
2056,1
2056,42
2097,29
2125,58
2182,62
2243,8
2250,59
2308,20
2327,31
2357,50
2406,1
2406,35
2440,1
2440,22
2461,1
2461,53
2513,1
2513,63
2575,162
2736,40
2775,62
2836,38
2873,32
2904,36
2939,38
2976,22
2997,29
3025,32
3056,35
3090,31
3120,17
3136,50
3185,59
3243,20
3262,21
3282,22
3303,46
3348,26
3373,28
3400,32
3431,21
3451,47
3497,57
3553,44
3596,2
3597,42
3638,4
3641,57
3697,1
3697,13
3709,31
3739,39
3777,4
3780,24
3803,19
3821,1
3821,47
3867,41
3907,28
3934,33
3966,47
4012,33
4044,30
4073,29
4101,27
4127,71
4197,4
4200,45
4244,118
4361,37
4397,19
4415,23
4437,55
4491,58
4548,30
4577,25
4601,1
4601,20
4620,36
4655,49
4703,26
4728,104
4831,26
4856,12
4867,34
4900,1
4900,88
4987,1
4987,55
5041,41
5081,56
5136,56
5191,36
5226,71
5296,62
5357,28
5384,35
5418,21
5438,49
5486,69
5554,40
5593,31
5623,59
5681,64
5744,34
5777,49
5825,24
5848,36
5883,19
5901,37
5937,17
5953,37
5989,41
6029,49
6077,1
6077,34
6110,33
6142,38
6179,35
6213,32
6244,50
6293,39
6331,25
6355,31
6385,31
6415,22
6436,44
6479,27
6505,25
6529,29
6557,59
6615,47
6661,51
6711,25
6735,27
6761,31
6791,74
6864,22
6885,38
6922,24
6945,16
6960,16
