cost|feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.62572184241|-0.4660451141174944|-0.47221687240649324|1.0|0.877742946708464|1.0|0.8828828828828829
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.7054278447172|-0.4660451141174944|-0.4723110021195036|1.0|0.8761755485893417|1.0|0.881203007518797
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.8167961824684|-0.4660451141174944|-0.4724425238288801|1.0|0.8746081504702194|1.0|0.8809523809523809
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.587253349127|-0.4660451141174944|-0.47217144260035737|1.0|0.8730407523510971|1.0|0.8796433878157504
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.780873298987|-0.4660451141174944|-0.4724001002896894|1.0|0.8714733542319749|1.0|0.8783382789317506
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.0636083765694|-0.4660451141174944|-0.472733999506066|1.0|0.8714733542319749|1.0|0.876876876876877
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1246.9401667567827|-0.4660451141174944|-0.4725882197164921|1.0|0.8699059561128527|1.0|0.8766716196136702
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.6654488425268|-0.4660451141174944|-0.4722637884606362|1.0|0.8699059561128527|1.0|0.8763040238450076
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.5839705331427|-0.4660451141174944|-0.472167565721358|1.0|0.8699059561128527|1.0|0.8763040238450076
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.7533100301193|-0.4660451141174944|-0.47236754913277457|1.0|0.8699059561128527|1.0|0.8755622188905547
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1246.7207540793254|-0.4660451141174944|-0.4723291018111637|1.0|0.8667711598746082|1.0|0.8744460856720828
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1246.947492186357|-0.4660451141174944|-0.4725968707661443|1.0|0.8683385579937304|1.0|0.8738738738738739
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.7983654882312|-0.4660451141174944|-0.4724207578901942|1.0|0.8667711598746082|1.0|0.8733233979135618
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.412959943234|-0.4660451141174944|-0.4731465702254354|1.0|0.8683385579937304|1.0|0.8731117824773413
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.8053906700932|-0.4660451141174944|-0.4724290543588836|1.0|0.8667711598746082|1.0|0.8729446935724963
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1247.1149627357627|-0.4660451141174944|-0.47279464702259877|1.0|0.8667711598746082|1.0|0.8729446935724963
81|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.0184318923123|-0.4660451141174944|-0.47268064782143915|1.0|0.8667711598746082|1.0|0.8729446935724963
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.8721316431327|-0.4660451141174944|-0.47250787287262663|1.0|0.8652037617554859|1.0|0.8727810650887574
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1246.8306743412086|-0.4660451141174944|-0.4724589133988186|1.0|0.8652037617554859|1.0|0.8724035608308605
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1246.9592606812737|-0.4660451141174944|-0.47261076890451537|1.0|0.8667711598746082|1.0|0.8721804511278195
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.1924189233728|-0.4660451141174944|-0.4728861197912686|1.0|0.8667711598746082|1.0|0.8721804511278195
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1246.9574598113757|-0.4660451141174944|-0.472608642146658|1.0|0.8652037617554859|1.0|0.8720238095238094
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.4295803376938|-0.4660451141174944|-0.4719852368581783|1.0|0.8652037617554859|1.0|0.8716417910447762
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.4054968016003|-0.4660451141174944|-0.4731377565431558|1.0|0.8652037617554859|1.0|0.8708708708708709
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.8172888171405|-0.4660451141174944|-0.4736240670231804|1.0|0.8652037617554859|1.0|0.8708708708708709
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.9614456348027|-0.4660451141174944|-0.4737943106620819|1.0|0.8636363636363636|1.0|0.8707280832095096
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4164292321962|-0.4660451141174944|-0.4731506673218262|1.0|0.8667711598746082|1.0|0.8706240487062404
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.646936795244|-0.4660451141174944|-0.47224192644714247|1.0|0.8620689655172413|1.0|0.8702064896755162
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4791174100565|-0.4660451141174944|-0.4732246996408527|1.0|0.8620689655172413|1.0|0.8682634730538923
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.364822039927|-0.4660451141174944|-0.4730897212191869|1.0|0.8620689655172413|1.0|0.867867867867868
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.6584301013984|-0.4660451141174944|-0.47225549959820445|1.0|0.8620689655172413|1.0|0.867867867867868
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.2749847775683|-0.4660451141174944|-0.47298362687900264|1.0|0.8605015673981191|1.0|0.8673621460506706
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4631501622648|-0.4660451141174944|-0.4732058429373589|1.0|0.8605015673981191|1.0|0.8673621460506706
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.4228146355224|-0.4660451141174944|-0.4731582082367529|1.0|0.8589341692789969|1.0|0.8672566371681416
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1246.5282669338756|-0.4660451141174944|-0.472101781920127|1.0|0.8557993730407524|1.0|0.8670520231213873
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.8265200800654|-0.4660451141174944|-0.47363496878847666|1.0|0.8589341692789969|1.0|0.8664688427299703
100|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1248.2980745565471|-0.4660451141174944|-0.4741918564287455|1.0|0.8605015673981191|1.0|0.865761689291101
1|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1246.8945831093258|-0.4660451141174944|-0.47253438718783825|1.0|0.8589341692789969|1.0|0.8656716417910448
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.9705052853997|-0.4660451141174944|-0.4726240483480788|1.0|0.8573667711598746|1.0|0.8655834564254062
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.376483387209|-0.4660451141174944|-0.47310349282033615|1.0|0.8605015673981191|1.0|0.8653555219364599
9|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.3731059637012|-0.4660451141174944|-0.4730995042135022|1.0|0.8605015673981191|1.0|0.8653555219364599
64|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.6330957697405|-0.4660451141174944|-0.47340654214188604|1.0|0.8589341692789969|1.0|0.8648648648648649
25|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.8013716303137|-0.4660451141174944|-0.47360526943975434|1.0|0.8589341692789969|1.0|0.8648648648648649
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.0259745907783|-0.4660451141174944|-0.4726895554572681|1.0|0.8573667711598746|1.0|0.8647845468053492
4|['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.8915963576055|-0.4660451141174944|-0.4725308599493103|1.0|0.8573667711598746|1.0|0.8647845468053492
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1246.97618517155|-0.4660451141174944|-0.4726307560744454|1.0|0.8573667711598746|1.0|0.8647845468053492
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.5746902030485|-0.4660451141174944|-0.47333756742139066|1.0|0.8605015673981191|1.0|0.8645357686453577
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.1271900234947|-0.4660451141174944|-0.47280908697758095|1.0|0.8573667711598746|1.0|0.864381520119225
49|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.3785414971492|-0.4660451141174944|-0.47310592336875645|1.0|0.8589341692789969|1.0|0.86404833836858
16|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.8448169465416|-0.4660451141174944|-0.4736565766817413|1.0|0.8573667711598746|1.0|0.8639760837070254
36|['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1248.319265927965|-0.4660451141174944|-0.4742168826206523|1.0|0.8589341692789969|1.0|0.8636363636363636
