feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLat']|1094.4744607908158|1246.4914629273442|-0.4660451141174944|-0.4720583178086153|1.0|0.8730407523510971|1.0|0.879284649776453
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dVWinds', 'dLat']|1094.4744607908158|1247.2704630136686|-0.4660451141174944|-0.4729782868503243|1.0|0.8667711598746082|1.0|0.8736998514115899
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat']|1094.4744607908158|1247.5818921147081|-0.4660451141174944|-0.4733460726011518|1.0|0.8683385579937304|1.0|0.8731117824773413
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dQV', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.4707137426396|-0.4660451141174944|-0.4720338138221538|1.0|0.8667711598746082|1.0|0.8725637181409295
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.9342090232128|-0.4660451141174944|-0.47258118386304493|1.0|0.8652037617554859|1.0|0.8720238095238094
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1246.8086262026536|-0.4660451141174944|-0.47243287539798406|1.0|0.8636363636363636|1.0|0.8714918759231906
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'LifeTime']|1094.4744607908158|1247.0446889469765|-0.4660451141174944|-0.4727116563897842|1.0|0.8652037617554859|1.0|0.87125748502994
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dVWinds']|1094.4744607908158|1247.1121097023174|-0.4660451141174944|-0.47279127770019347|1.0|0.8605015673981191|1.0|0.8693098384728339
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.9471083227286|-0.4660451141174944|-0.4737773788497741|1.0|0.8636363636363636|1.0|0.8691729323308272
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.3326550052595|-0.4660451141174944|-0.4730517331925137|1.0|0.8636363636363636|1.0|0.8691729323308272
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'dLat']|1094.4744607908158|1247.0006927745653|-0.4660451141174944|-0.47265969860790125|1.0|0.8620689655172413|1.0|0.8690476190476191
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'WaveTrajectory', 'dSeaLevPress']|1094.4744607908158|1247.2137069536645|-0.4660451141174944|-0.47291126013357565|1.0|0.8636363636363636|1.0|0.8687782805429864
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dLat', 'LifeTime']|1094.4744607908158|1246.776386935781|-0.4660451141174944|-0.4723948020678639|1.0|0.8605015673981191|1.0|0.8685376661742984
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.9384221987405|-0.4660451141174944|-0.4737671208725265|1.0|0.8636363636363636|1.0|0.8679817905918059
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dLat', 'LifeTime']|1094.4744607908158|1246.9531986113893|-0.4660451141174944|-0.47260360983390637|1.0|0.8605015673981191|1.0|0.8677563150074294
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dLat', 'LifeTime']|1094.4744607908158|1246.9444153907866|-0.4660451141174944|-0.4725932371893038|1.0|0.8620689655172413|1.0|0.8674698795180722
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dLat']|1094.4744607908158|1246.8047681701764|-0.4660451141174944|-0.4724283192105032|1.0|0.8605015673981191|1.0|0.8673621460506706
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLat']|1094.4744607908158|1246.2630988696496|-0.4660451141174944|-0.4717886286686448|1.0|0.8557993730407524|1.0|0.8670520231213873
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dAirTemp', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1247.337296155873|-0.4660451141174944|-0.4730572142122944|1.0|0.8605015673981191|1.0|0.866965620328849
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1247.118456798508|-0.4660451141174944|-0.4727987733758716|1.0|0.8589341692789969|1.0|0.8668639053254438
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dAirTemp', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.8949847753502|-0.4660451141174944|-0.47253486153991364|1.0|0.8589341692789969|1.0|0.8668639053254438
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'WaveTrajectory', 'dLon']|1094.4744607908158|1248.3725136504206|-0.4660451141174944|-0.47427976612613665|1.0|0.8636363636363636|1.0|0.8667687595712099
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'Lon', 'dSeaLevPress', 'dLat', 'LifeTime']|1094.4744607908158|1246.7520059709145|-0.4660451141174944|-0.47236600908917525|1.0|0.8573667711598746|1.0|0.8667642752562225
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dVWinds', 'dLat']|1094.4744607908158|1247.3797983509348|-0.4660451141174944|-0.4731074076645778|1.0|0.8605015673981191|1.0|0.8661654135338346
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'Lon', 'dAirTemp', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.3754715152982|-0.4660451141174944|-0.47310229783865565|1.0|0.8605015673981191|1.0|0.8661654135338346
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dSeaLevPress', 'dVWinds', 'dLat']|1094.4744607908158|1247.3891556373885|-0.4660451141174944|-0.4731184582587984|1.0|0.8589341692789969|1.0|0.8660714285714286
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'PtIndex', 'dSeaLevPress']|1094.4744607908158|1247.7815210374229|-0.4660451141174944|-0.4735818266555494|1.0|0.8620689655172413|1.0|0.8658536585365854
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dLon']|1094.4744607908158|1246.8288760263692|-0.4660451141174944|-0.4724567896583871|1.0|0.8589341692789969|1.0|0.8656716417910448
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dSeaLevPress', 'dVWinds', 'dLat', 'LifeTime']|1094.4744607908158|1246.5737853093342|-0.4660451141174944|-0.4721555373650699|1.0|0.8573667711598746|1.0|0.8651851851851851
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dAirTemp', 'dLat']|1094.4744607908158|1247.1816957815172|-0.4660451141174944|-0.47287345617452425|1.0|0.8589341692789969|1.0|0.8648648648648649
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'LifeTime']|1094.4744607908158|1246.573501954178|-0.4660451141174944|-0.4721552027335647|1.0|0.8557993730407524|1.0|0.8647058823529411
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dLat', 'dLon', 'LifeTime']|1094.4744607908158|1246.9687765088888|-0.4660451141174944|-0.47262200672972976|1.0|0.8557993730407524|1.0|0.8647058823529411
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'dLon', 'LifeTime']|1094.4744607908158|1246.334980298761|-0.4660451141174944|-0.4718735178626474|1.0|0.8557993730407524|1.0|0.8647058823529411
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dUWinds', 'dLat']|1094.4744607908158|1247.4319719814753|-0.4660451141174944|-0.47316902270895733|1.0|0.8605015673981191|1.0|0.8645357686453577
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'dSeaLevPress', 'dUWinds']|1094.4744607908158|1246.9210510380178|-0.4660451141174944|-0.47256564479027285|1.0|0.8589341692789969|1.0|0.8644578313253012
