feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'Lon', 'dOmega', 'dLat', 'LifeTime']|1094.4744607908158|1246.8911429716811|-0.4660451141174944|-0.472530324518029|1.0|0.8730407523510971|1.0|0.8789237668161435
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'Lon', 'dLat', 'LifeTime']|1094.4744607908158|1247.5005905167422|-0.4660451141174944|-0.47325005855123936|1.0|0.8714733542319749|1.0|0.8757575757575758
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'Lon', 'dOmega', 'dVWinds', 'LifeTime']|1094.4744607908158|1247.6530079165007|-0.4660451141174944|-0.4734300576188353|1.0|0.8667711598746082|1.0|0.8721804511278195
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lat', 'LifeTime']|1094.4744607908158|1247.4380378155217|-0.4660451141174944|-0.47317618622489643|1.0|0.8652037617554859|1.0|0.8716417910447762
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'PtIndex', 'dOmega', 'dLon']|1094.4744607908158|1247.817334230426|-0.4660451141174944|-0.4736241206545184|1.0|0.8652037617554859|1.0|0.87125748502994
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dOmega', 'dVWinds', 'dLat']|1094.4744607908158|1247.3315322263006|-0.4660451141174944|-0.47305040723388925|1.0|0.8652037617554859|1.0|0.8708708708708709
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dOmega']|1094.4744607908158|1247.1667241650289|-0.4660451141174944|-0.4728557752731801|1.0|0.8620689655172413|1.0|0.8694362017804155
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dOmega', 'dSeaLevPress', 'dLat']|1094.4744607908158|1247.7261278044602|-0.4660451141174944|-0.473516409384948|1.0|0.8652037617554859|1.0|0.8693009118541033
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'PtIndex', 'dSeaLevPress', 'dUWinds']|1094.4744607908158|1247.3209698900166|-0.4660451141174944|-0.4730379335223198|1.0|0.8620689655172413|1.0|0.8690476190476191
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'WaveTrajectory', 'dOmega']|1094.4744607908158|1247.1193263131318|-0.4660451141174944|-0.47279980023908896|1.0|0.8620689655172413|1.0|0.8686567164179104
