feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dVWinds', 'dLat']|1095.0624071977693|1246.960148640354|-0.4668326664891178|-0.4726118175499243|0.9443137254901961|0.8855799373040752|0.9431545236188952|0.8892261001517451
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dSeaLevPress', 'dVWinds', 'dLat', 'dLon']|1095.420018804607|1246.754258608151|-0.4673116861170197|-0.4723686693668261|0.9450980392156862|0.8824451410658307|0.9434114793856103|0.8868778280542987
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dOmega', 'dLat']|1095.1302502445894|1247.19135353314|-0.4669235420379596|-0.4728848616065153|0.9470588235294117|0.8840125391849529|0.9456740442655935|0.8861538461538461
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'WaveTrajectory', 'dOmega', 'dLat']|1094.9810518378924|1246.9432116495682|-0.4667236912392352|-0.47259181561737496|0.956078431372549|0.8808777429467085|0.9550200803212852|0.8858858858858859
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'PtIndex', 'dSeaLevPress', 'LifeTime']|1095.8555435225196|1246.6614276165099|-0.46789507011330933|-0.4722590395478823|0.9431372549019608|0.8808777429467085|0.9402554594149154|0.8841463414634145
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'Lon', 'dOmega', 'dSeaLevPress', 'dLat']|1094.9919579050813|1246.6383214609082|-0.4667382998820946|-0.47223175206974255|0.9494117647058824|0.8793103448275862|0.9484206317473011|0.8838612368024134
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dSeaLevPress']|1095.3369414443832|1247.3408147969542|-0.4672004042530631|-0.47306136959163303|0.943921568627451|0.8808777429467085|0.9419407226958993|0.8837920489296636
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dOmega', 'dLat']|1095.0046835746546|1247.5055631204398|-0.46675534587665224|-0.4732559310043223|0.9482352941176471|0.8808777429467085|0.9470729751403368|0.8837920489296636
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dOmega', 'dSeaLevPress', 'dLat']|1095.1611286863572|1247.4230542261723|-0.4669649036140464|-0.47315849118406517|0.9474509803921569|0.8808777429467085|0.9458804523424879|0.8837920489296636
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dSeaLevPress', 'dLat', 'LifeTime']|1095.5932642731045|1246.603106342668|-0.4675437478797495|-0.4721901643739903|0.9427450980392157|0.8793103448275862|0.9403107113654946|0.8831562974203339
