feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dQV']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dOmega']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dSeaLevPress']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dUWinds']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dVWinds']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dLat']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dLon']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'LifeTime']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lat', 'Lon']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'PtIndex']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'WaveTrajectory']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dAirTemp']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dQV']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dOmega']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dSeaLevPress']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
['AirTemp', 'QV', 'Omega', 'VWinds', 'SeaLevPress', 'UWinds', 'Lon', 'dUWinds']|1095.9785060247696|1246.7244143496216|-0.46805977800015475|-0.47233342444914017|0.8701960784313726|0.8793103448275862|0.8665860540104796|0.88208269525268
