feature_combination|train_MSE|test_MSE|train_r^2|test_r^2|train_acc|test_acc|train_F1|test_F1
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dSeaLevPress', 'LifeTime']|1095.567230912616|1246.6589894437536|-0.46750887627486937|-0.47225616015994176|0.5078431372549019|0.46865203761755486|0.8888888888888888|0.9129770992366413
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dSeaLevPress']|1095.5510467600834|1246.5514522975163|-0.467487197653214|-0.4721291629399045|0.5078431372549019|0.46865203761755486|0.8876359242851389|0.9118541033434651
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dAirTemp']|1095.4571933545665|1246.5883370359172|-0.4673614813103204|-0.4721727223926391|0.5078431372549019|0.46865203761755486|0.8881763527054108|0.9115853658536586
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp']|1095.5433588392743|1246.4827785456534|-0.4674768997073566|-0.47204806188895354|0.5078431372549019|0.46865203761755486|0.8845228548516438|0.9104704097116844
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dAirTemp']|1095.5711913039308|1246.6738444490093|-0.4675141812066379|-0.4722737033479205|0.5078431372549019|0.46865203761755486|0.8848631239935586|0.9099236641221375
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dAirTemp', 'dOmega']|1095.6509140189112|1246.8768235236778|-0.4676209695337925|-0.4725134138024991|0.5078431372549019|0.46865203761755486|0.8943747470659652|0.9096477794793262
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'LifeTime']|1095.5389491090484|1246.4028735821137|-0.46747099288752314|-0.4719536972104048|0.5078431372549019|0.46865203761755486|0.8847077662129705|0.9093655589123867
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dVWinds']|1095.8090337134117|1246.4545370924923|-0.4678327703696026|-0.4720147098225582|0.5078431372549019|0.46865203761755486|0.8842275110931828|0.9090909090909091
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dAirTemp', 'dSeaLevPress']|1095.4593068034071|1246.5744439735283|-0.46736431226842634|-0.47215631522206647|0.5078431372549019|0.46865203761755486|0.8900481540930979|0.9088145896656535
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dAirTemp', 'dOmega']|1095.433293277331|1246.5931473246758|-0.46732946723167945|-0.4721784031580425|0.5078431372549019|0.46865203761755486|0.8956906967378172|0.9088145896656535
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dQV', 'dUWinds']|1095.5743590101895|1246.4345475515927|-0.46751842433925517|-0.4719911029461168|0.5078431372549019|0.46865203761755486|0.8989939637826961|0.9085365853658536
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'LifeTime']|1095.4407247833224|1246.7317920501748|-0.46733942171069165|-0.47234213722880103|0.5078431372549019|0.46865203761755486|0.8890668802563075|0.9082568807339451
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dOmega', 'dVWinds']|1095.7816412367179|1246.7220721968765|-0.46779607823281966|-0.47233065845712785|0.5078431372549019|0.46865203761755486|0.895184135977337|0.9082568807339451
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'LifeTime']|1095.544314099513|1246.5305309087|-0.4674781792754559|-0.4721044555870322|0.5078431372549019|0.46865203761755486|0.8847077662129705|0.9079939668174963
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dQV', 'dUWinds']|1095.5425526089075|1246.6439740125322|-0.46747581976430386|-0.4722384275150884|0.5078431372549019|0.46865203761755486|0.8933440256615878|0.9079754601226994
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'PtIndex', 'dQV', 'dUWinds']|1095.5859222171646|1246.4242197569072|-0.4675339132188012|-0.47197890621912464|0.5078431372549019|0.46865203761755486|0.895582329317269|0.9079754601226994
['AirTemp', 'QV', 'Omega', 'VWinds', 'Lon', 'dAirTemp', 'dQV', 'dUWinds', 'dVWinds']|1095.9069368118996|1246.9715612764126|-0.46796391126355386|-0.47262529543271614|0.5078431372549019|0.46865203761755486|0.8915956151035322|0.9079754601226994
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dUWinds']|1095.549858284271|1246.3991660161041|-0.4674856056935839|-0.47194931871801593|0.5078431372549019|0.46865203761755486|0.894524959742351|0.9077155824508321
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dQV']|1095.5757508135039|1246.680039238912|-0.46752028865543815|-0.4722810191557494|0.5078431372549019|0.46865203761755486|0.891924467657694|0.9074355083459787
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dUWinds', 'LifeTime']|1095.476491400983|1246.5330197560315|-0.46738733098308516|-0.47210739481969033|0.5078431372549019|0.46865203761755486|0.892184368737475|0.9074355083459787
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dQV', 'dSeaLevPress']|1095.497799855137|1246.4483950434337|-0.4674158735907208|-0.47200745629963103|0.5078431372549019|0.46865203761755486|0.8947579031612646|0.9074355083459787
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dOmega', 'dSeaLevPress']|1095.563880108854|1246.6404049184125|-0.46750438788371906|-0.47223421255265796|0.5078431372549019|0.46865203761755486|0.8945454545454545|0.9074355083459787
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'WaveTrajectory', 'LifeTime']|1095.6125054944393|1246.637853549931|-0.46756952143549535|-0.4722311994849342|0.5078431372549019|0.46865203761755486|0.8865647626709574|0.9071537290715372
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lon', 'dAirTemp', 'dOmega']|1095.567902924026|1246.76587289923|-0.46750977643204905|-0.4723823853964155|0.5078431372549019|0.46865203761755486|0.8939088342073416|0.9071537290715372
['AirTemp', 'QV', 'Omega', 'VWinds', 'UWinds', 'Lat', 'Lon', 'dQV']|1095.5442051700882|1246.5880173813048|-0.4674780333648323|-0.4721723448928765|0.5078431372549019|0.46865203761755486|0.8904|0.9068702290076337
