Features,F1 Score
"['Omega', 'QV']",0.5205479452054794
"['Omega', 'dQV']",0.4788732394366197
"['Omega', 'SeaLevPress']",0.5277777777777778
"['Omega', 'dOmega']",0.45945945945945943
"['Omega', 'AirTemp']",0.4788732394366197
"['Omega', 'dLat']",0.4927536231884058
"['Omega', 'dLon']",0.417910447761194
"['Omega', 'UWinds']",0.5
"['Omega', 'dVWinds']",0.5526315789473685
"['Omega', 'dSeaLevPress']",0.5405405405405405
"['Omega', 'dAirTemp']",0.5070422535211268
"['Omega', 'dUWinds']",0.4788732394366197
"['Omega', 'VWinds']",0.4722222222222222
"['QV', 'SeaLevPress']",0.07017543859649124
"['QV', 'dOmega']",0.22222222222222224
"['QV', 'UWinds']",0.07407407407407407
"['QV', 'dVWinds']",0.13559322033898308
"['QV', 'dSeaLevPress']",0.07407407407407407
"['QV', 'dUWinds']",0.07272727272727274
"['QV', 'VWinds']",0.07407407407407407
"['dQV', 'SeaLevPress']",0.03773584905660378
"['dQV', 'dOmega']",0.1639344262295082
"['dQV', 'dVWinds']",0.10344827586206896
"['SeaLevPress', 'dOmega']",0.19672131147540986
"['SeaLevPress', 'dVWinds']",0.07142857142857144
"['SeaLevPress', 'VWinds']",0.03773584905660378
"['dOmega', 'AirTemp']",0.16949152542372883
"['dOmega', 'dLat']",0.16666666666666669
"['dOmega', 'dLon']",0.10714285714285714
"['dOmega', 'UWinds']",0.19672131147540986
"['dOmega', 'dVWinds']",0.19999999999999998
"['dOmega', 'dSeaLevPress']",0.13793103448275862
"['dOmega', 'dAirTemp']",0.13559322033898308
"['dOmega', 'dUWinds']",0.16129032258064518
"['dOmega', 'VWinds']",0.23333333333333334
"['AirTemp', 'dVWinds']",0.03773584905660378
"['dLat', 'dVWinds']",0.037037037037037035
"['UWinds', 'dVWinds']",0.0967741935483871
"['dVWinds', 'dAirTemp']",0.07017543859649124
"['dVWinds', 'dUWinds']",0.10526315789473685
"['dVWinds', 'VWinds']",0.1090909090909091
"['dSeaLevPress', 'VWinds']",0.03773584905660378
"['Omega', 'QV', 'dQV']",0.5205479452054794
"['Omega', 'QV', 'SeaLevPress']",0.5
"['Omega', 'QV', 'dOmega']",0.49350649350649345
"['Omega', 'QV', 'AirTemp']",0.4788732394366197
"['Omega', 'QV', 'dLat']",0.5142857142857142
"['Omega', 'QV', 'dLon']",0.44117647058823534
"['Omega', 'QV', 'UWinds']",0.5205479452054794
"['Omega', 'QV', 'dVWinds']",0.5974025974025974
"['Omega', 'QV', 'dSeaLevPress']",0.5526315789473685
"['Omega', 'QV', 'dAirTemp']",0.5
"['Omega', 'QV', 'dUWinds']",0.4788732394366197
"['Omega', 'QV', 'VWinds']",0.4722222222222222
"['Omega', 'dQV', 'SeaLevPress']",0.5555555555555556
"['Omega', 'dQV', 'dOmega']",0.4864864864864865
"['Omega', 'dQV', 'AirTemp']",0.5277777777777778
"['Omega', 'dQV', 'dLat']",0.4927536231884058
"['Omega', 'dQV', 'dLon']",0.42424242424242425
"['Omega', 'dQV', 'UWinds']",0.44117647058823534
"['Omega', 'dQV', 'dVWinds']",0.5
"['Omega', 'dQV', 'dSeaLevPress']",0.5135135135135135
"['Omega', 'dQV', 'dAirTemp']",0.4788732394366197
"['Omega', 'dQV', 'dUWinds']",0.4788732394366197
"['Omega', 'dQV', 'VWinds']",0.4507042253521127
"['Omega', 'SeaLevPress', 'dOmega']",0.5333333333333333
"['Omega', 'SeaLevPress', 'AirTemp']",0.4507042253521127
"['Omega', 'SeaLevPress', 'dLat']",0.4927536231884058
"['Omega', 'SeaLevPress', 'dLon']",0.44776119402985076
"['Omega', 'SeaLevPress', 'UWinds']",0.5405405405405405
"['Omega', 'SeaLevPress', 'dVWinds']",0.5866666666666667
"['Omega', 'SeaLevPress', 'dSeaLevPress']",0.5675675675675677
"['Omega', 'SeaLevPress', 'dAirTemp']",0.5
"['Omega', 'SeaLevPress', 'dUWinds']",0.4347826086956522
"['Omega', 'SeaLevPress', 'VWinds']",0.4788732394366197
"['Omega', 'dOmega', 'AirTemp']",0.5066666666666666
"['Omega', 'dOmega', 'dLat']",0.47058823529411764
"['Omega', 'dOmega', 'dLon']",0.3939393939393939
"['Omega', 'dOmega', 'UWinds']",0.4931506849315069
"['Omega', 'dOmega', 'dVWinds']",0.5263157894736842
"['Omega', 'dOmega', 'dSeaLevPress']",0.45945945945945943
"['Omega', 'dOmega', 'dAirTemp']",0.5135135135135135
"['Omega', 'dOmega', 'dUWinds']",0.4931506849315069
"['Omega', 'dOmega', 'VWinds']",0.48
"['Omega', 'AirTemp', 'dLat']",0.48571428571428577
"['Omega', 'AirTemp', 'dLon']",0.44776119402985076
"['Omega', 'AirTemp', 'UWinds']",0.48571428571428577
"['Omega', 'AirTemp', 'dVWinds']",0.5277777777777778
"['Omega', 'AirTemp', 'dSeaLevPress']",0.5205479452054794
"['Omega', 'AirTemp', 'dAirTemp']",0.4788732394366197
"['Omega', 'AirTemp', 'dUWinds']",0.4788732394366197
"['Omega', 'AirTemp', 'VWinds']",0.4788732394366197
"['Omega', 'dLat', 'dLon']",0.44776119402985076
"['Omega', 'dLat', 'UWinds']",0.44776119402985076
"['Omega', 'dLat', 'dVWinds']",0.5352112676056338
"['Omega', 'dLat', 'dSeaLevPress']",0.5142857142857142
"['Omega', 'dLat', 'dAirTemp']",0.5070422535211268
"['Omega', 'dLat', 'dUWinds']",0.4927536231884058
"['Omega', 'dLat', 'VWinds']",0.46376811594202905
"['Omega', 'dLon', 'UWinds']",0.417910447761194
"['Omega', 'dLon', 'dVWinds']",0.4927536231884058
"['Omega', 'dLon', 'dSeaLevPress']",0.44776119402985076
"['Omega', 'dLon', 'dAirTemp']",0.47058823529411764
"['Omega', 'dLon', 'dUWinds']",0.417910447761194
"['Omega', 'dLon', 'VWinds']",0.44117647058823534
"['Omega', 'UWinds', 'dVWinds']",0.6075949367088607
"['Omega', 'UWinds', 'dSeaLevPress']",0.5070422535211268
"['Omega', 'UWinds', 'dAirTemp']",0.46376811594202905
"['Omega', 'UWinds', 'dUWinds']",0.4788732394366197
"['Omega', 'UWinds', 'VWinds']",0.48571428571428577
"['Omega', 'dVWinds', 'dSeaLevPress']",0.5822784810126582
"['Omega', 'dVWinds', 'dAirTemp']",0.5555555555555556
"['Omega', 'dVWinds', 'dUWinds']",0.5277777777777778
"['Omega', 'dVWinds', 'VWinds']",0.5599999999999999
"['Omega', 'dSeaLevPress', 'dAirTemp']",0.5
"['Omega', 'dSeaLevPress', 'dUWinds']",0.4571428571428572
"['Omega', 'dSeaLevPress', 'VWinds']",0.4722222222222222
"['Omega', 'dAirTemp', 'dUWinds']",0.4571428571428572
"['Omega', 'dAirTemp', 'VWinds']",0.44117647058823534
"['Omega', 'dUWinds', 'VWinds']",0.4788732394366197
"['QV', 'dQV', 'SeaLevPress']",0.03773584905660378
"['QV', 'dQV', 'dOmega']",0.22222222222222224
"['QV', 'dQV', 'dVWinds']",0.13793103448275862
"['QV', 'dQV', 'dSeaLevPress']",0.03773584905660378
"['QV', 'dQV', 'dAirTemp']",0.03773584905660378
"['QV', 'dQV', 'VWinds']",0.037037037037037035
"['QV', 'SeaLevPress', 'dOmega']",0.22580645161290322
"['QV', 'SeaLevPress', 'UWinds']",0.07272727272727274
"['QV', 'SeaLevPress', 'dVWinds']",0.19999999999999998
"['QV', 'SeaLevPress', 'dSeaLevPress']",0.07272727272727274
"['QV', 'SeaLevPress', 'dAirTemp']",0.07407407407407407
"['QV', 'SeaLevPress', 'dUWinds']",0.034482758620689655
"['QV', 'SeaLevPress', 'VWinds']",0.10526315789473685
"['QV', 'dOmega', 'AirTemp']",0.26865671641791045
"['QV', 'dOmega', 'dLat']",0.22580645161290322
"['QV', 'dOmega', 'dLon']",0.10714285714285714
"['QV', 'dOmega', 'UWinds']",0.19999999999999998
"['QV', 'dOmega', 'dVWinds']",0.25
"['QV', 'dOmega', 'dSeaLevPress']",0.28124999999999994
"['QV', 'dOmega', 'dAirTemp']",0.23333333333333334
"['QV', 'dOmega', 'dUWinds']",0.24615384615384617
"['QV', 'dOmega', 'VWinds']",0.34920634920634924
"['QV', 'AirTemp', 'dVWinds']",0.13333333333333336
"['QV', 'dLat', 'dVWinds']",0.037037037037037035
"['QV', 'UWinds', 'dVWinds']",0.1639344262295082
"['QV', 'UWinds', 'dSeaLevPress']",0.03773584905660378
"['QV', 'UWinds', 'dUWinds']",0.10526315789473685
"['QV', 'UWinds', 'VWinds']",0.253968253968254
"['QV', 'dVWinds', 'dSeaLevPress']",0.19999999999999998
"['QV', 'dVWinds', 'dAirTemp']",0.1639344262295082
"['QV', 'dVWinds', 'dUWinds']",0.19047619047619047
"['QV', 'dVWinds', 'VWinds']",0.17543859649122806
"['QV', 'dSeaLevPress', 'dAirTemp']",0.03773584905660378
"['QV', 'dSeaLevPress', 'dUWinds']",0.03773584905660378
"['QV', 'dSeaLevPress', 'VWinds']",0.16949152542372883
"['QV', 'dAirTemp', 'VWinds']",0.03773584905660378
"['QV', 'dUWinds', 'VWinds']",0.10714285714285714
"['dQV', 'SeaLevPress', 'dOmega']",0.13333333333333336
"['dQV', 'SeaLevPress', 'AirTemp']",0.03773584905660378
"['dQV', 'SeaLevPress', 'UWinds']",0.03773584905660378
"['dQV', 'SeaLevPress', 'dVWinds']",0.07142857142857144
"['dQV', 'SeaLevPress', 'dSeaLevPress']",0.03773584905660378
"['dQV', 'SeaLevPress', 'dAirTemp']",0.07407407407407407
"['dQV', 'SeaLevPress', 'dUWinds']",0.03773584905660378
"['dQV', 'SeaLevPress', 'VWinds']",0.03773584905660378
"['dQV', 'dOmega', 'AirTemp']",0.1639344262295082
"['dQV', 'dOmega', 'dLat']",0.1935483870967742
"['dQV', 'dOmega', 'dLon']",0.10526315789473685
"['dQV', 'dOmega', 'UWinds']",0.1639344262295082
"['dQV', 'dOmega', 'dVWinds']",0.21212121212121213
"['dQV', 'dOmega', 'dSeaLevPress']",0.15625
"['dQV', 'dOmega', 'dAirTemp']",0.13559322033898308
"['dQV', 'dOmega', 'dUWinds']",0.1875
"['dQV', 'dOmega', 'VWinds']",0.22580645161290322
"['dQV', 'AirTemp', 'dVWinds']",0.03636363636363637
"['dQV', 'UWinds', 'dVWinds']",0.09999999999999999
"['dQV', 'dVWinds', 'dSeaLevPress']",0.07017543859649124
"['dQV', 'dVWinds', 'dAirTemp']",0.07017543859649124
"['dQV', 'dVWinds', 'dUWinds']",0.13793103448275862
"['dQV', 'dVWinds', 'VWinds']",0.13333333333333336
"['dQV', 'dSeaLevPress', 'dUWinds']",0.03773584905660378
"['dQV', 'dAirTemp', 'dUWinds']",0.03773584905660378
"['dQV', 'dAirTemp', 'VWinds']",0.03773584905660378
"['SeaLevPress', 'dOmega', 'AirTemp']",0.15873015873015872
"['SeaLevPress', 'dOmega', 'dLat']",0.13793103448275862
"['SeaLevPress', 'dOmega', 'dLon']",0.10714285714285714
"['SeaLevPress', 'dOmega', 'UWinds']",0.22580645161290322
"['SeaLevPress', 'dOmega', 'dVWinds']",0.13559322033898308
"['SeaLevPress', 'dOmega', 'dSeaLevPress']",0.13793103448275862
"['SeaLevPress', 'dOmega', 'dAirTemp']",0.13333333333333336
"['SeaLevPress', 'dOmega', 'dUWinds']",0.2153846153846154
"['SeaLevPress', 'dOmega', 'VWinds']",0.2622950819672132
"['SeaLevPress', 'AirTemp', 'dVWinds']",0.07142857142857144
"['SeaLevPress', 'dLat', 'dVWinds']",0.037037037037037035
"['SeaLevPress', 'dLon', 'dAirTemp']",0.037037037037037035
"['SeaLevPress', 'UWinds', 'dVWinds']",0.12903225806451613
"['SeaLevPress', 'UWinds', 'VWinds']",0.07407407407407407
"['SeaLevPress', 'dVWinds', 'dSeaLevPress']",0.10714285714285714
